-7,3,8,7.20,7.20,0.40,o
-6,3,8,9.80,10.00,0.30,o
-5,3,8,13.60,13.70,0.30,o
-4,3,8,11.20,11.30,0.30,o
-3,3,8,1.30,3.10,1.30,o
-1,3,8,9.70,10.00,0.30,o
0,3,8,13.50,12.80,0.20,o
2,3,8,11.10,11.40,0.30,o
3,3,8,4.70,4.60,0.50,o
-5,4,8,10.90,10.70,0.30,o
-4,4,8,14.30,14.40,0.30,o
-3,4,8,15.00,14.50,0.30,o
-2,4,8,9.00,9.10,0.30,o
-5,0,9,2.20,1.40,1.40,o
-3,0,9,2.80,2.90,2.00,o
3,0,9,2.40,2.10,2.00,o
1,1,9,1.50,1.10,1.10,o
-6,2,9,1.60,2.70,1.30,o
-2,2,9,1.20,1.70,1.70,o
-8,2,10,7.30,7.30,0.40,o
-7,2,10,6.80,6.60,0.50,o
-5,2,10,4.90,5.40,0.60,o
-4,2,10,21.40,21.70,0.30,o
-3,2,10,7.70,7.40,0.50,o
-2,2,10,23.10,23.50,0.20,o
1,2,10,5.20,5.10,0.60,o
2,2,10,8.70,8.60,0.40,o
3,2,10,5.10,5.30,0.50,o
-7,3,10,6.90,6.80,0.40,o
-6,3,10,13.80,13.50,0.30,o
-4,3,10,10.70,10.50,0.30,o
-2,3,10,4.80,4.80,0.60,o
-1,3,10,8.60,8.30,0.40,o
0,3,10,12.80,11.90,0.20,o
1,3,10,13.10,13.40,0.30,o
2,3,10,8.50,9.00,0.30,o
3,3,10,5.70,5.40,0.50,o
-4,4,10,4.40,3.90,0.90,o
-2,4,10,9.00,9.70,0.30,o
-1,4,10,10.80,10.50,0.30,o
0,4,10,10.50,10.00,0.70,o
-8,1,11,0.60,2.00,1.90,o
-7,1,11,2.70,1.40,1.40,o
-1,2,11,2.10,2.40,2.30,o
0,2,11,2.80,3.00,1.10,o
3,2,11,2.40,1.10,1.10,o
-6,3,11,1.00,1.40,1.30,o
-4,4,11,2.80,2.90,1.10,o
-8,0,12,6.10,6.30,0.50,o
-6,0,12,5.80,5.30,0.60,o
-4,0,12,4.90,4.60,0.80,o
-2,0,12,5.10,5.40,0.60,o
0,0,12,4.90,5.00,0.80,o
2,0,12,3.00,3.10,1.00,o
-8,1,12,3.50,3.70,0.70,o
-6,1,12,1.80,0.90,0.80,o
-2,1,12,2.70,2.90,1.50,o
0,1,12,1.00,2.00,2.00,o
-8,2,12,0.50,1.90,1.80,o
-6,2,12,4.40,4.30,0.60,o
-5,2,12,6.90,7.40,0.40,o
-3,2,12,9.90,9.50,0.40,o
0,2,12,1.80,2.10,2.10,o
-7,3,12,4.70,4.00,0.70,o
-5,3,12,7.90,8.20,0.40,o
-4,3,12,3.20,3.50,0.90,o
-3,2,14,3.60,3.90,0.80,o
-2,2,14,1.60,1.10,1.00,o
2,2,14,1.10,2.70,1.00,o
-5,3,14,0.20,1.80,1.80,o
-1,3,14,2.00,2.50,1.70,o
0,3,14,2.70,1.90,1.90,o
-6,1,15,2.10,2.30,2.00,o
-5,1,15,2.10,1.90,1.90,o
-7,2,15,1.10,1.90,1.90,o
-5,2,15,2.90,1.90,1.80,o
0,2,15,2.40,2.20,2.10,o
-2,0,16,2.60,3.20,1.00,o
0,0,16,1.90,1.30,1.20,o
-7,1,16,3.40,4.30,0.50,o
-6,1,16,0.10,2.00,2.00,o
-4,1,16,2.80,3.80,0.80,o
-2,1,16,7.70,7.40,0.50,o
-1,1,16,4.50,3.70,0.90,o
0,1,16,5.80,6.10,0.30,o
-7,2,16,2.60,2.00,2.00,o
-6,2,16,2.50,1.90,1.80,o
-1,2,16,6.60,6.60,0.50,o
0,2,16,7.30,7.40,0.40,o
1,2,16,5.30,5.10,0.50,o
-2,3,16,3.30,3.50,0.70,o
0,1,17,1.60,0.60,0.60,o
-7,3,17,1.40,1.50,1.40,o
-4,3,17,2.00,3.30,0.70,o
-1,3,17,0.10,2.10,2.00,o
0,0,18,2.40,2.90,0.70,o
-6,2,18,3.60,3.70,0.80,o
-2,2,18,2.10,2.80,1.10,o
-2,3,18,1.00,1.10,1.10,o
